"Altes Reich, 6. Dynastie","Straßburg, Bibliothèque nationale et universitaire de Strasbourg, Frgm. Cc"
"Altes Reich, 6. Dynastie","Straßburg, Bibliothèque nationale et universitaire de Strasbourg, Frgm. Cf"
"Altes Reich, 6. Dynastie","Straßburg, Bibliothèque nationale et universitaire de Strasbourg, Frgm. Bg"
"Altes Reich, 6. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, P. 10500 A–B"
"Altes Reich, 6. Dynastie","München, Staatliche Sammlung Ägyptischer Kunst, ÄS 7123"
"Altes Reich, 6. Dynastie","Giza, Nekropole, G 4561"
"Altes Reich, 6. Dynastie, Teti","Hatnub, Kalzitalabastersteinbruch, 1"
"Altes Reich, 6. Dynastie, Teti","Hatnub, Kalzitalabastersteinbruch, 2"
"Altes Reich, 6. Dynastie, Pepi I. Merire","Kairo, Ägyptisches Museum, CG 58043"
"Altes Reich, 6. Dynastie, Nemtiemsaf I. Merenre I. – Altes Reich, 7. und 8. Dynastie","Berlin, Ägyptisches Museum und Papyrussammlung, P. 10050"
"Altes Reich, 6. Dynastie, Pepi II. Neferkare","Hatnub, Kalzitalabastersteinbruch, 3"
"Altes Reich, 6. Dynastie, Pepi II. Neferkare","Hatnub, Kalzitalabastersteinbruch, 4"
"Altes Reich, 6. Dynastie, Pepi II. Neferkare","Hatnub, Kalzitalabastersteinbruch, 7"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis) – Mittleres Reich","Hatnub, Kalzitalabastersteinbruch, 38"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis)","Berkeley (CA), University of California - Bancroft Library, P.Hearst 1282"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 16"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 23"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 20"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 25"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 24"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 26"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 17"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 22"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Neferkare","Hatnub, Kalzitalabastersteinbruch, 6"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 18"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 14"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 27"
Erste Zwischenzeit,"Hatnub, Kalzitalabastersteinbruch, 43"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 19"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 28"
Erste Zwischenzeit,"Hatnub, Kalzitalabastersteinbruch, 33"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 15"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Ahanacht (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 11"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Ahanacht (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 12"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Iha (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 9"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Ahanacht (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 10"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis), Nehri I. (Nomarch)","Hatnub, Kalzitalabastersteinbruch, 21"
Erste Zwischenzeit,"Turin, Museo Egizio, G2T"
Erste Zwischenzeit,"Boston (MA), Museum of Fine Arts, 04.2059 vo"
"Erste Zwischenzeit, 9. und 10. Dynastie (Herakleopolis) – Erste Zwischenzeit, 11. Dynastie (vor der Reichseinigung)","Atlanta, Michael C. Carlos Museum, 2014.033.001"
